0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:43:42 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 400 14
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:47:22 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 14
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:47:29 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 400 14
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:48:22 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:48:22 +0530] "POST /atm/user/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:48:27 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:48:43 +0530] "POST /atm/user/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:48:48 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:49:08 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [09/Sep/2024:15:49:23 +0530] "GET /atm/user/getBalance/3 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:00:56 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:00:57 +0530] "POST /atm/user/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:01:34 +0530] "OPTIONS /atm/user/deposit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:01:35 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:01:50 +0530] "OPTIONS /atm/user/withdrawl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:01:50 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:02:29 +0530] "GET /atm/user/getBalance/3 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [09/Sep/2024:17:02:48 +0530] "GET /atm/user/getBalance/3 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [09/Sep/2024:20:09:34 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:20:09:34 +0530] "POST /atm/user/login HTTP/1.1" 401 40
0:0:0:0:0:0:0:1 - - [09/Sep/2024:20:09:44 +0530] "POST /atm/user/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/Sep/2024:20:09:49 +0530] "GET /atm/user/getBalance/3 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [09/Sep/2024:20:13:10 +0530] "GET /atm/user/getBalance/3 HTTP/1.1" 200 18
