127.0.0.1 - - [20/Nov/2024:15:20:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:20:43 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:20:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:22:10 +0530] "OPTIONS /atm/user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:22:11 +0530] "POST /atm/user HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:23:22 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:23:22 +0530] "POST /atm/user/login HTTP/1.1" 403 35
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:23:29 +0530] "POST /atm/user/login HTTP/1.1" 401 40
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:23:37 +0530] "POST /atm/user/login HTTP/1.1" 404 39
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:23:45 +0530] "POST /atm/user/login HTTP/1.1" 401 40
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:23:50 +0530] "POST /atm/user/login HTTP/1.1" 403 35
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:23:56 +0530] "POST /atm/user/login HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:24:05 +0530] "GET /atm/user/getBalance/100009 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:24:33 +0530] "OPTIONS /atm/user/deposit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:24:34 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:24:47 +0530] "GET /atm/user/getBalance/100009 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:24:54 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:05 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:12 +0530] "OPTIONS /atm/user/withdrawl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:13 +0530] "PUT /atm/user/withdrawl HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:15 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:18 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:21 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:21 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:23 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:27 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:28 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:28 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:32 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:25:57 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:26:01 +0530] "GET /atm/user/getBalance/100009 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:26:16 +0530] "POST /atm/user/login HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:26:16 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:26:16 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:26:18 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:26:26 +0530] "GET /atm/transaction/ofdate?date=2024-11-20T00:00:00.000Z HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:26:28 +0530] "GET /atm/transaction/ofdate?date=2024-11-20T00:00:00.000Z HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:03 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:03 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:13 +0530] "OPTIONS /atm/user/transfer HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:13 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:13 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:14 +0530] "PUT /atm/user/transfer HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:18 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:42 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:43 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:27:43 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:05 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:05 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:06 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:06 +0530] "PUT /atm/user/transfer HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:13 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:30 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:30 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:31 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:31 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:33 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:39 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:39 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:39 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:39 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:28:39 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:08 +0530] "POST /atm/user/login HTTP/1.1" 401 40
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:19 +0530] "POST /atm/user/login HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:19 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:19 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:20 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:29 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:41 +0530] "GET /atm/transaction/user/100009 HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:29:55 +0530] "GET /atm/transaction/ofdate?date=2024-11-20T00:00:00.000Z HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:30:00 +0530] "GET /atm/transaction/ofdate?date=2024-11-19T00:00:00.000Z HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:30:06 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:30:06 +0530] "GET /atm/transaction HTTP/1.1" 200 9834
