127.0.0.1 - - [26/Sep/2024:16:21:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:21:42 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:21:52 +0530] "GET /atm/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:28:03 +0530] "OPTIONS /atm/user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:28:04 +0530] "POST /atm/user HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:52:41 +0530] "OPTIONS /atm/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:52:42 +0530] "POST /atm/user/login HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:52:49 +0530] "GET /atm/user/getBalance/100000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:52:52 +0530] "GET /atm/user/getBalance/100000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:53:01 +0530] "OPTIONS /atm/user/deposit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:53:01 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:53:04 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:53:08 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:53:08 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:53:39 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:54:31 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:55:41 +0530] "GET /atm/user/getBalance/100000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:55:52 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:16:58:55 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:17:00:23 +0530] "PUT /atm/user/deposit HTTP/1.1" 400 125
0:0:0:0:0:0:0:1 - - [26/Sep/2024:17:00:51 +0530] "OPTIONS /atm/user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:17:00:51 +0530] "POST /atm/user HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [26/Sep/2024:17:01:33 +0530] "POST /atm/user/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [26/Sep/2024:17:01:38 +0530] "PUT /atm/user/deposit HTTP/1.1" 200 82
